measures,16,,,,,
beats,3,,,,,
divisions,2,,,,,
minTempo,80,,,,,
maxTempo,120,,,,,
swing,0,,,,,
21,21,24,28,100,,90
,,,,,,
,,,,,,90
,,,,,,
23,,,,90,,90
,,,,,,
24,29,31,36,100,,90
,,,,,,
,,,,,,90
,,,,,,
26,,,,90,,90
,,,,,,
19,23,26,31,100,,90
,,,,,,
,,,,,,90
,,,,,,
19,,,,90,,90
,,,,,,
19,23,26,31,100,,90
,,,,,,
,,,,,,90
,,,,,,
20,,,,90,,90
,,,,,,
21,24,28,33,100,,90
,,,,,,
,,,,,,90
,,,,,,
21,,,,90,,90
,,,,,,
17,21,24,29,100,,90
,,,,,,
,,,,,,90
,,,,,,
17,,,,90,,90
,,,,,,
16,20,23,28,100,,90
,,,,,,
,,,,,,90
,,,,,,
,,,,90,,90
,,,,,,
16,20,23,26,100,,90
,,,,,,
,,,,,,90
,,,,,,
20,,,,90,,90
,,,,,,
21,21,24,28,100,,90
,,,,,,
,,,,,,90
,,,,,,
23,,,,90,,90
,,,,,,
24,29,31,36,100,,90
,,,,,,
,,,,,,90
,,,,,,
26,,,,90,,90
,,,,,,
19,23,26,31,100,,90
,,,,,,
,,,,,,90
,,,,,,
19,,,,90,,90
,,,,,,
19,23,26,31,100,,90
,,,,,,
,,,,,,90
,,,,,,
20,,,,90,,90
,,,,,,
21,24,28,33,100,,90
,,,,,,
19,,,,,,90
,,,,,,
17,,,,90,,90
,,,,,,
16,20,23,28,100,,90
,,,,,,
18,,,,,,90
,,,,,,
20,,,,90,,90
,,,,,,
21,24,28,33,100,,90
,,,,,,
,,,,,,90
,,,,,,
,,,,90,,90
,,,,,,
21,25,28,33,100,,90
,,,,,,
,,,,,,90
,,,,,,
,,,,90,,90
,,,,,,
