70,70,0,82
0,0,0,0
74,70,74,0
0,0,0,0
77,70,0,82
0,0,0,0
79,0,74,82
0,0,0,0
70,70,0,82
0,0,0,0
74,70,74,0
0,0,0,0
77,70,0,82
0,0,0,0
80,0,74,82
0,0,0,0
65,65,0,72
0,0,0,0
74,65,69,0
0,0,0,0
72,65,0,72
0,0,0,0
74,0,69,72
0,0,0,0
74,74,0,84
0,0,0,0
78,74,78,0
0,0,0,0
81,74,0,84
0,0,0,0
82,74,78,0
0,0,0,0
67,67,0,77
0,0,0,0
71,0,71,77
0,0,0,0
74,67,0,77
0,0,0,0
77,67,71,0
0,0,0,0
67,67,0,77
0,0,0,0
71,0,71,77
0,0,0,0
74,67,0,77
0,0,0,0
77,67,71,0
0,0,0,0
67,67,0,77
0,0,0,0
70,0,70,77
0,0,0,0
74,67,0,77
0,0,0,0
77,67,70,0
0,0,0,0
72,72,0,82
0,0,0,0
70,0,76,82
0,0,0,0
69,72,0,82
0,0,0,0
65,72,76,0
0,0,0,0
