10,73,65,92
0,0,0,0
0,0,0,0
10,73,101,104
0,0,0,0
0,0,0,0
10,73,101,94
0,0,0,0
12,75,67,108
0,0,0,0
0,0,0,0
12,75,79,72
0,0,0,0
0,0,0,0
12,75,79,108
0,0,0,0
17,68,96,77
17,68,60,77
0,0,0,0
17,68,72,65
0,0,0,0
17,68,60,77
0,0,0,0
0,0,0,0
17,68,72,77
0,0,0,0
0,0,0,0
17,68,72,101
0,0,0,0
0,0,0,0
17,68,96,77
0,0,0,0
10,73,77,92
0,0,0,0
0,0,0,0
10,73,101,92
0,0,0,0
0,0,0,0
10,73,65,106
0,0,0,0
12,75,79,108
0,0,0,0
0,0,0,0
12,75,67,96
0,0,0,0
0,0,0,0
10,73,65,68
0,0,0,0
0,0,0,0
5,68,84,87
0,0,0,0
0,0,0,0
10,73,89,82
0,0,0,0
12,75,79,108
0,0,0,0
12,75,79,72
0,0,0,0
12,75,103,96
0,0,0,0
5,68,60,87
0,0,0,0
12,75,91,108
0,0,0,0
