15,79,0,0
0,0,0,0
0,94,0,87
22,0,51,0
15,67,0,54
0,0,78,0
0,82,55,55
27,0,0,58
15,67,70,0
0,0,0,60
0,94,0,75
22,0,75,0
19,95,0,65
0,0,77,0
0,98,0,67
22,0,79,0
24,99,0,87
0,0,0,60
0,91,87,0
17,0,84,0
24,63,0,99
0,0,0,72
0,91,75,0
17,0,72,0
24,99,0,87
17,0,0,84
0,67,0,75
20,0,99,0
22,98,0,77
0,0,89,0
0,89,0,103
19,0,91,0
20,60,0,63
0,0,0,84
0,63,75,0
19,0,96,0
20,72,0,84
19,0,0,82
0,63,72,0
19,0,58,0
15,67,0,70
0,0,0,55
0,94,70,0
22,0,67,0
15,79,0,89
0,0,0,87
0,70,53,0
15,0,63,0
17,93,53,77
0,0,80,92
0,72,81,93
17,0,72,96
17,81,74,86
0,0,0,0
0,72,0,65
17,0,0,98
22,86,98,0
0,0,0,61
0,65,73,0
17,0,0,60
22,74,0,70
17,0,60,0
22,77,70,84
0,0,0,0
